lr,weight_decay,momentum,batch_size,epochs,best_acc,best_epoch
0.05,0.001,0.95,128,10,0.451,8
0.05,0.0001,0.95,128,10,0.444,8
0.1,0.0001,0.95,128,10,0.444,7
0.1,0.0005,0.95,128,10,0.434,9
0.05,0.0001,0.9,128,10,0.429,9
0.05,0.001,0.9,128,10,0.427,9
0.1,0.001,0.95,128,10,0.422,9
0.1,0.001,0.9,128,10,0.414,9
0.05,0.0005,0.95,128,10,0.402,9
0.1,0.0001,0.9,128,10,0.4,8
0.15,0.0005,0.85,128,10,0.398,7
0.05,0.0005,0.9,128,10,0.395,7
0.15,0.0001,0.95,128,10,0.392,9
0.15,0.0005,0.95,128,10,0.389,5
0.1,0.0005,0.9,128,10,0.375,8
0.15,0.0005,0.9,128,10,0.375,8
0.05,0.0001,0.85,128,10,0.359,7
0.15,0.0001,0.85,128,10,0.339,8
0.15,0.001,0.85,128,10,0.337,8
0.15,0.0001,0.9,128,10,0.333,6
0.1,0.0005,0.85,128,10,0.333,7
0.15,0.001,0.9,128,10,0.33,9
0.05,0.001,0.85,128,10,0.326,9
0.05,0.0005,0.85,128,10,0.318,9
0.1,0.001,0.85,128,10,0.313,9
0.1,0.0001,0.85,128,10,0.301,9
0.15,0.001,0.95,128,10,0.293,8
